firstName,lastName,birthDate,post
"Willie","Hicks","08.11.2002","Директор"
"Victoria","Cardenas","31.03.1958","Уборщик"
"Evangelina","Hayes","12.02.2002","Уборщик"
"Roman","Walls","08.12.1996","Уборщик"
"Kirsten","Washington","29.10.1970","Консультант"
"Micheal","Rivers","22.09.1997","Кассир"
"Eduardo","Brooks","25.11.1990","Менеджер"
"Savannah","Adkins","13.04.1955","Менеджер"
"Danial","Olson","28.08.2004","Кассир"
"Nancy","Morin","09.12.1962","Кассир"
"Garland","Quinn","24.06.1956","Консультант"
"Parker","Arnold","17.06.1967","Кассир"
"Ericka","England","25.07.1963","Менеджер"
"Elliot","Gilmore","03.04.1963","Уборщик"
"Angelique","Washington","13.10.1966","Консультант"
"Charlene","Oneal","18.01.1962","Менеджер"
"Mindy","Strickland","12.09.1950","Консультант"
"Jeri","Dyer","06.08.1953","Менеджер"
"Barton","Mejia","13.11.1959","Менеджер"
"Marlin","Tyler","02.07.1999","Консультант"
"Janice","Hansen","03.06.1971","Кассир"
"Lance","Wiggins","04.06.1996","Консультант"
"Reva","Mcbride","29.04.1991","Консультант"
"Normand","Hodge","30.09.1971","Консультант"
"Bernadine","Marquez","22.07.1982","Уборщик"
"Rudy","Carr","16.05.1955","Уборщик"
"Hung","Contreras","02.07.1993","Менеджер"
"Theron","Cross","11.11.1955","Кассир"
"Terri","Martinez","31.07.1995","Менеджер"
"Noel","Ayers","14.05.1966","Уборщик"
"Janell","Goodman","26.01.1981","Уборщик"
"Anita","Williamson","08.09.1955","Уборщик"
"Errol","Duncan","21.03.1959","Кассир"
"Humberto","Watkins","21.09.1999","Кассир"
"Hope","May","30.04.1952","Консультант"
"Mary","Contreras","27.10.1957","Кассир"
"Royce","Mcdonald","10.09.1976","Уборщик"
"Chandra","Manning","08.10.1991","Уборщик"
"Beulah","Frye","18.09.1964","Менеджер"
"Caroline","Santana","28.08.1977","Кассир"
